id,period,publication_date,prior_target,advance,scope,resistance,difficulty_score,category,framing_year,solution_year,age_decades,provisional,description,anchor_claim,prior_rationale,advance_rationale,scope_rationale,resistance_rationale,age_rationale,coding_confidence,challenge_policy_version,challenge_audit_status
1095,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Sufficiency of Hall's Condition for Graphic List Coloring. During the preparation of this work, the author used ChatGPT-5.6 Sol to resolve exceptional cases in Subsection 3.5 . In particular, it identified counterexamples to the initial expectation that the restriction could be omitted from the statement of Theorem 3.7 , which led the author to formulate Proposition 3.8 . It also constructed the graphs used for the remaining -vertex cases shown in Figure 3 . After using this tool, the author reviewed, edited, and verified the content as needed and takes full responsibility for the integrity and accuracy of the publication. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: For finite simple graphs $G,H$ on a common vertex set $V$, we say that $H$ is $G$-colorable if $H$ admits a proper list coloring with list assignment $L(v)=N_G(v)$ for all $v\in V$. This notion of coloring a graph using the neighborhood of another graph on the same vertex set, which we call \emph{graphic list coloring}, has connections to several classical topics, including systems of distinct representatives and graph factorizations. In this paper, we investigate when a necessary Hall-type condition, introduced by Hilton and Johnson in 1990, is also sufficient for $H$ to be $G$-colorable. We characterize all graphs $H$ that are $G$-colorable whenever the pair $(H,G)$ satisfies Hall's condition, answering a question raised by Johnson. We then consider the dual problem of characterizing graphs $G$ such that, whenever $(H,G)$ satisfies Hall's condition, $H$ is $G$-colorable. In this vein, we obtain complete results for several families of graphs, such as forests, complete multipartite graphs, and grid graphs.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1096,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"On the Turán number of the expansion of the book. Statement of AI use . We tried to use ChatGPT 5.4 to obtain a proof of Lemma 2.1. We gave it the statement and it gave us multiple incorrect proofs, thus we ended up proving the lemma ourselves. We could use from those failed proofs the basic idea of defining and then using the vertices of as centers. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: The book with $t$ pages is the graph on $t+2$ vertices consisting of $t$ triangles which intersect at exactly one common edge. For a given graph $F$, the $r$-expansion $F^r$ of $F$ is the $r$-uniform hypergraph obtained from $F$ by adding $r-2$ distinct new vertices to each edge of $F$. We determine the Turán number of the 3-expansion of the book graph for sufficiently large $n$.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1097,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"Forbidden Subgraphs of Graphs with Low Bandwidth. The disclosure says Claude line-audited lemmas and proofs, suggested tighter constants, and drafted proof passages from author sketches; the authors say original results and strategies predated AI and reviewed every edit. Identify which proof passages and tightened constants were retained from Claude, map them to specific lemmas or theorems, and obtain independent theorem-level verification; the authors say the results and strategies predated AI, leaving the exact mathematical materiality of the revision-stage assistance unresolved. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports an FPT approximation for graph bandwidth: given G and k, it outputs a subtree of bandwidth at least k or a layout of bandwidth at most (10^85 k^28)^(4^k), resolving a Chung–Seymour question and yielding a forbidden-subgraph characterization.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1098,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Optimal girth-dependent bounds for the Bethe approximation of the permanent. The authors had developed a strategy for proving Theorem 1.3 with multiplicative factor , where as . ChatGPT 5.6 Sol Pro was able to develop a version of this strategy into a proof with . Subsequent interactions with ChatGPT 5.6 Sol Ultra, aimed at understanding the source of this logarithmic loss and the relationship with the work of Anari–Rezaei, led to the development of the present proof. The authors used Codex for assistance with preparing the manuscript. The mathematical content, the final text, and any errors are the responsibility of the authors. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: For an $n\times n$ nonnegative matrix $A$, the Bethe permanent, which is computable in deterministic polynomial time, satisfies the tight universal comparison \[\operatorname{Bethe}(A) \leq \operatorname{per}(A) \leq 2^{n/2}\operatorname{Bethe}(A).\] The lower bound, due to Gurvits, is attained on forests. The upper bound, due to Anari and Rezaei, is attained by the adjacency matrix of a disjoint union of $4$-cycles. Confirming a conjecture of Anari, we provide an optimal girth-dependent refinement of the above comparison. More precisely, we show that if the bipartite support graph of $A$ has girth at least an even integer $g \geq 4$, then \[\operatorname{Bethe}(A) \leq \operatorname{per}(A) \leq 2^{2n/g}\operatorname{Bethe}(A).\] The upper bound is attained by the adjacency matrix of a disjoint union of $g$-cycles.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1099,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Measures on partial orders. The equations in Table 4 were obtained by brute force: we (or really ChatGPT) generated all equations for and discarded redundant equations. This is a somewhat involved computational task, so one might worry that errors could have been made in the process. Fortunately, this is not important. For our proof, all that matters is that each equation appearing in the table is valid, and the table contains certificates for this (namely, the twice marked posets ). We have verified (independently of ChatGPT) that each has been correctly obtained from . The proof of Proposition 5.3 relies on the cleverly constructed poset . ChatGPT found this for by a brute force search, and then observed that one can add the and vertices. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: We determine the measures (in the sense of Harman--Snowden) on the Fraïssé class of partially ordered sets: the space of measures is a union of a plane, eight lines, and 15 isolated points. This is the first case where the space is not equidimensional, and the first primitive case in which it has dimension at least two. ChatGPT was used to obtain many arguments. The writing was done entirely by the author.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1100,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"Sparse $k$-AP Covering Sets and the Arithmetic Kakeya Conjecture. All mathematical content in this paper is due to the author. The author used ChatGPT and Claude to help identify typographical and mathematical errors. Further checking: for 2609.02041 (Sparse $k$-AP Covering Sets and the Arithmetic Kakeya Conjecture), establish which mathematical errors the models identified and whether their repairs affect the covering-set theorem; independently verify the bounded claim, novelty, and any statement-to-artifact correspondence. Missing evidence in this run: no claim-specific contribution map or independent replay/formal/third-party verification resolving that question was available. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports: A subset $A\subseteq \mathbb N_0$ is $k$-AP covering if there exists a constant $n_0$ such that for every integer $x>n_0$, there exists $d\in\mathbb N_0$ such that $x-d, x-2d,\dots,x-(k-1)d$ are all in $A$. Disproving a conjecture of Kiss, Sándor, and Yang, we prove that for every integer $k\geq 6$, there exists a constant $\varepsilon=\varepsilon_k>0$ and a $k$-AP covering set $A$ such that $|A\cap \{0,1,\dots,n\}| < n^{\frac{k-2}{k-1}-\varepsilon}$ for all sufficiently large $n$. We also relate this problem to the Arithmetic Kakeya Conjecture by Katz and Tao.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1101,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"Turnpike properties in nonlinear system identification. During the preparation of this work, the authors used ChatGPT (OpenAI) to support language editing, manuscript organization, and exploratory discussions of mathematical arguments, examples, and formulations. All mathematical results, proofs, interpretations, and conclusions were independently assessed and verified by the authors. The authors reviewed and edited all AI-assisted content and take full responsibility for the content of the article. Further checking: for 2609.02071 (Turnpike properties in nonlinear system identification), establish which exploratory arguments, examples or formulations were retained in the turnpike results; independently verify the bounded claim, novelty, and any statement-to-artifact correspondence. Missing evidence in this run: no claim-specific contribution map or independent replay/formal/third-party verification resolving that question was available. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports: We analyze the problem of learning general discrete-time nonlinear state-space models using the simulation error minimization (SEM) method. In this setting, model parameters are typically learned by minimizing the mismatch between simulated and measured outputs over a training dataset, or shorter subsequences extracted from it. Specifically, we study the cumulative output turnpike property of the underlying SEM optimization problem, which requires optimal output sequences emanating from a fixed initial state to approach and remain close to an optimal output sequence of the corresponding SEM problem with free initial state. In the presence of non-unique optimal output sequences---as may arise, for instance, in fully black-box system identification using neural networks---the property is formulated with respect to the closest such sequence. Turnpike behavior is generally desirable in practice, as it provides a theoretical justification for employing computationally more tractable SEM formulations with fixed initial states while ensuring that their optimal output sequences remain close to unconstrained optimal ones. Under a mild reachability condition, we establish equivalence between the cumulative turnpike property, coercivity of the value function, and a tailored notion of strict dissipativity. We additionally introduce a cardinality turnpike property and show that it is strictly weaker than the cumulative notion. Finally, we establish sufficient conditions for turnpike behavior based on incremental output stability, convexity of the stage cost, and a suitable optimality condition, and illustrate the theory by means of a numerical example.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1102,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Logarithmic basis number of graphs. The proof was found with the help of OpenAI’s GPT-5.6 Sol. The model was also used as a research aid for exploring proof strategies, locating potentially relevant literature, and assisting with the drafting and revision of the manuscript. The author independently checked the arguments and references and takes full responsibility for the mathematical correctness and final content of the paper. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: The basis number $\mathrm{bn}(G)$ of a graph $G$ is the minimum edge-congestion of a basis of its cycle space. We prove that every finite $n$-vertex multigraph satisfies \[ \mathrm{bn}(G)=O(\log n), \] resolving, for simple graphs, a question of Bazargani, Biedl, Bose, Maheshwari and Miraftab, subsequently stated as a conjecture by Miraftab, Morin and Yuditsky. The argument also yields the cycle-rank refinement \[ \mathrm{bn}(G)=O(\log \beta(G)), \] where $\beta(G)$ is the dimension of the cycle space, and a reduction of Lehner and Miraftab, based on a theorem of Richter and Shank, then gives \[ \mathrm{bn}(G)=O(\log g) \] for graphs of Euler genus $g$. These orders are best possible.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1103,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"Mutation--selection balance on an infinite trait space: confinement, drift and equilibrium. The author used Microsoft Copilot (GPT-based AI) as a tool to assist with phrasing, exposition, and checking intermediate calculations. The author takes full responsibility for all content, including all mathematical results. Further checking: for 2609.02086 (Mutation--selection balance on an infinite trait space: confinement, drift and equilibrium), establish which intermediate calculations were AI-checked and where they enter the mutation-selection analysis; independently verify the bounded claim, novelty, and any statement-to-artifact correspondence. Missing evidence in this run: no claim-specific contribution map or independent replay/formal/third-party verification resolving that question was available. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports: We study a trait-structured population model incorporating mutation, selection and density-dependent regulation on a countably infinite trait space. The underlying stochastic process is a continuous-time Markov chain in which individuals reproduce at a trait-independent rate, offspring traits are determined by a mutation kernel on $\mathbb Z$, mortality depends on trait, and births are progressively suppressed as the population approaches a fixed population ceiling. Using results for density-dependent Markov population processes with countably many types, we derive a deterministic approximation in the form of an infinite system of nonlinear differential equations. We establish existence and positive invariance of solutions, and investigate the equilibrium structure of the deterministic system. A fundamental distinction emerges between bounded and confining mortality profiles. When mortality remains bounded, mutation may continually transport mass through the trait space and a stationary trait distribution need not exist. In contrast, when mortality increases without bound as the absolute value of the trait index becomes large, the operator $L=D^{-1}P$, where $P$ and $D$ govern mutation and mortality, is compact. By combining compactness with Kre\uın-Rutman theory for compact positive operators on Banach lattices, we show that $L$ has an algebraically simple principal eigenvalue with a strictly positive eigenvector, and we derive a threshold condition for the existence of a non-zero equilibrium. In this regime the equilibrium is unique, and its trait distribution is determined by the principal eigenvector of $L$. Numerical experiments support the theoretical results and illustrate the contrasting behaviours associated with bounded and confining mortality profiles.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1104,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"Conformal Ricci Curvature and Spectral Estimates. The author used ChatGPT 5.6 Sol for assistance with routine calculations and minor editorial revisions. All mathematical arguments, computations, and statements have been independently reviewed and verified by the author, who takes full responsibility for the content of the manuscript. Further checking: for 2609.02104 (Conformal Ricci Curvature and Spectral Estimates), establish which routine calculations were AI-assisted and where they enter the conformal-Ricci spectral estimates; independently verify the bounded claim, novelty, and any statement-to-artifact correspondence. Missing evidence in this run: no claim-specific contribution map or independent replay/formal/third-party verification resolving that question was available. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports: We derive optimized upper bounds for the first Dirichlet eigenvalue of a bounded domain under lower bounds for the conformal Ricci tensor of Shen and Ye. The method also yields sharp estimates for the bottom spectrum on complete noncompact manifolds, a four-dimensional application involving $Q$-curvature, and local and global spectral-Ricci extensions of Cheng's estimate. As a consequence, we obtain a sharp comparison between the spectra of the Laplacian and the conformal Laplacian in terms of the smallest Schouten eigenvalue.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1105,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"The Exact Online Threshold for the Asymmetric Binary Perceptron. The disclosure says GPT-5.6 Sol was used for exploratory discussions during proof development and for drafting/revision; the authors accept responsibility. Identify which proof ideas, lemmas, or computer-assisted bounds arose from GPT-5.6 Sol’s exploratory discussions, and independently verify theorem/AI correspondence and the 0.32747–0.36664 computer-assisted bound. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports the exact online threshold alpha_on(kappa) for the asymmetric binary perceptron for every fixed margin, an O(MN) deterministic algorithm below it, impossibility above it, and a computer-assisted bound 0.32747 < alpha_on(0) < 0.36664.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1106,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"$\mathfrak{sl}_2$-action on the uri Lie algebra. Use of AI tools. ChatGPT 5.6 and Claude Fable 5 were used for language editing, for implementing the operators in SageMath, and for developing the strategy of the swap-invariance proof. Exact computations with this implementation produced the correction terms in the Appendix. The author checked all arguments and computations and takes full responsibility for the paper. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: We construct an $\mathfrak{sl}_2$-action by derivations on the Lie algebra $\mathfrak B$ of swap invariant alternil bimoulds with the uri bracket of Kühn and Schneps. This Lie algebra plays the role for formal multiple Eisenstein series which Racinet's double shuffle Lie algebra $\mathfrak{dm}_0$ plays for multiple zeta values. The kernel $\mathfrak m$ of the lowering operator is a Lie subalgebra, $\mathfrak B$ is the direct sum of its iterates under the raising operator, and this gives Rankin-Cohen type operators on $\mathfrak m$. We define a Lie subalgebra $\mathfrak d$ of $\mathfrak B$ and show that it is isomorphic to $\mathfrak{dm}_0$ extended by an additional element in weight one.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1107,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"The higher-dimensional Shepp problem: an exact criterion for random ball coverings of tori. AI-assisted tools, specifically OpenAI’s ChatGPT and Codex, provided substantive assistance with preliminary literature screening, proof exploration, Lean 4 code generation and refactoring, consistency checks between the formal development and the manuscript, selected stages of proof auditing, manuscript organization, and language editing. Their outputs were treated as suggestions rather than as authoritative sources. The author determined the mathematical statements and scope, reviewed the arguments and their formal counterparts, and assumes full responsibility for every mathematical claim, proof, citation, and statement of priority in this paper. No AI system is credited as an author. Further checking: for 2609.02156 (The higher-dimensional Shepp problem: an exact criterion for random ball coverings of tori), establish which proof components and Lean files were AI-generated or refactored and whether the formal statements match the manuscript; independently verify the bounded claim, novelty, and any statement-to-artifact correspondence. Missing evidence in this run: no claim-specific contribution map or independent replay/formal/third-party verification resolving that question was available. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports: We solve the Euclidean-ball case of the higher-dimensional Shepp covering problem. More precisely, we give an exact criterion for full limsup coverage of the $d$-dimensional torus, $d\ge 2$, by independently centered Euclidean balls with an arbitrary decreasing sequence of radii. Let $X_1,X_2,\ldots$ be independent Haar-uniform points, let $r_1\ge r_2\ge\cdots\downarrow 0$, and put $u_n(z)=m(B(0,r_n)\cap B(z,r_n))$ and $H(z)=\sum_{n\ge 1}u_n(z)$. Then every point belongs to infinitely many of the balls $B(X_n,r_n)$ almost surely if and only if $\int_{\mathbb{T}^d}\exp(H) dm=\infty$. In dimension one this condition is equivalent to Shepp's criterion. No regular-variation or comparable-scale assumption is imposed on the radii. The main difficulty is shared noise: after spatial decomposition, the same Poisson input acts on many uncovered cells, so their descendants are not conditionally independent. We overcome this by establishing an extinction bound for monotone population recursions driven by positively associated innovations. Together with Poissonization and spatial localization this proves sufficiency, while a second-moment estimate and the zero-one law prove necessity.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1108,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,1,"Degree of irrationality of abelian surfaces. AI tools were used to assist with exploratory work, including suggesting examples, carrying out auxiliary calculations, and reviewing drafts. The overall proof strategies and mathematical arguments were developed under the authors’ guidance. The authors carefully checked and rederived the entire manuscript, including all AI-assisted arguments and references, and take full responsibility for the final text. Further checking: for 2609.02169 (Degree of irrationality of abelian surfaces), establish which suggested examples and auxiliary calculations were retained in the degree-of-irrationality proof; independently verify the bounded claim, novelty, and any statement-to-artifact correspondence. Missing evidence in this run: no claim-specific contribution map or independent replay/formal/third-party verification resolving that question was available. Keep provisional, leave reviewStatus unreviewed, and do not assign the Superhuman override.","The paper reports: Let $A$ be a complex abelian surface. We prove that $A$ admits a dominant rational map of degree three to $\PP^2$ if and only if it admits a polarization of type $(1,1)$, $(1,2)$, $(1,3)$, or $(1,6)$. Consequently, the degree of irrationality of $A$ is $3$ precisely in these four cases and is $4$ otherwise.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1109,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Aperiodic random walks: uniform estimates, local limits and invariance principles. Most of the proofs in this note were initially generated by ChatGPT 5.6, although the underlying mathematical ingredients should be standard to experts on random walks. The human author subsequently checked the arguments line by line, made various revisions, and takes full responsibility for the correctness of the note. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: We prove uniform endpoint estimates, killed local limits, and conditioned-bridge invariance principles for triangular arrays of centered, aperiodic, integer-valued random walks with uni- form exponential tails. The endpoint estimates cover all nonnegative heights, while the local limits treat positive diffusive and zero endpoints. The increment law may vary with the scaling parameter.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1110,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Locally Conformally Flat Manifolds with Positive Scalar Curvature: Kleinian Groups, Moduli Spaces, and Euclidean Rigidity. The author developed the proof structure of Theorem F , while ChatGPT-5.6 Sol was used to assist in elaborating the detailed arguments. The author also used ChatGPT-5.6 Sol to polish and copy-edit this manuscript, including refining the presentation of some mathematical arguments, improving mathematical exposition and language, checking grammar and style, and providing typesetting assistance. The author assumes full responsibility for the final manuscript, including all mathematical claims and source attributions. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: We study locally conformally flat (LCF) Riemannian manifolds with nonnegative or positive scalar curvature (PSC), using the conformal boundary of the developing image. For closed oriented LCF $n$-manifolds with PSC and infinite fundamental group, $n\ge5$, we bound the macroscopic dimension of their Riemannian universal covers by $\lfloor(n-1)/2\rfloor$, establish the existence of a nontrivial homotopy group above the middle dimension, and, under mild additional hypotheses, bound the Hausdorff dimension of the limit sets of their Kleinian groups in the interval $(1,(n-2)/2)$. In particular, no closed aspherical manifold admits an LCF metric with PSC. If the scalar curvature is at least $n(n-1)$ and the manifold is not isometric to the round sphere, then every smooth nonzero-degree map to the sphere expands somewhere when its Kleinian group is elementary, while the developing map expands somewhere whenever the fundamental group is infinite. We prove that the space of LCF metrics with PSC and its moduli space are contractible in dimension three for finite fundamental group and for $S^2\times S^1$, and that the moduli space is empty or contractible for smooth manifolds homeomorphic to spherical space forms but not diffeomorphic to $S^n$ in dimensions $n\ge4$. For complete open simply connected LCF manifolds of nonnegative scalar curvature, we obtain Euclidean rigidity under additional topological hypotheses at infinity (and, in dimension three, from vanishing second homology alone). We also show that, in dimensions $n\ge4$, the Euclidean conclusion can fail when neither of the two additional topological hypotheses is assumed: we construct complete contractible examples of PSC that are not homeomorphic to $\mathbb{R}^n$.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1111,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"The trapezoid comparison inequality in metric spaces with curvature bounded above. The results in this paper were obtained with the assistance of the large language model Claude Opus 5 (Anthropic), which was used interactively to generate and refine candidate arguments. All statements and proofs were independently verified by the author, who is solely responsible for the content of the paper. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: Among four points of a CAT(0) space, the planar symmetric trapezoids are configurations on which Ptolemy's and Reshetnyak's inequalities are both equalities. We show that the symmetric trapezoids remain extremal for the entire family of inequalities interpolating between the two, indexed by the nondecreasing convex functions with concave derivative, and that this function class is characterized by this property. The result is qualitatively stronger than the known quadruple inequalities for this class of functions, and recovers them with their optimal constants, which were previously known only for power functions. Moreover, we extend the analysis to CAT($\kappa$) spaces with $\kappa>0$. We derive variants of Reshetnyak's quadrilateral comparison and of Ptolemy's inequality under positive upper curvature bounds, each with the optimal constant. These two inequalities yield the trapezoid comparison inequality in CAT($\kappa$) spaces, where the product of the bases carries an additional constant factor compared to the $\kappa=0$ case. Again the constant is optimal.",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
1112,2026-09,2026-09-03,0,0,0,0,0,incomplete,,2026,,0,"Affine Copies of Three-Point Patterns in Sets of Integers. The author supplied the underlying residue-splitting idea and provided high-level guidance on the direction of the work. GPT-5.6 Pro was used extensively to generate and refine the detailed proofs, carry out the technical calculations, and assist with drafting and revision. The author independently checked the final arguments and calculations and assumes full responsibility for all mathematical claims and any remaining errors. Independent mathematical, priority and theorem-level contribution review remains pending.","The paper reports: Let $P=\{0,a,b\}$, where $0<a<b$ and $\gcd(a,b)=1$. For a finite set $A\subset\mathbb Z$, let $M_P^+(A)$ count the copies $x,x+ad,x+bd\in A$ with $d>0$, and let $M_P(A)$ count the copies with any $d\ne0$. We prove that every such three-point pattern other than the arithmetic progression $\{0,1,2\}$ satisfies \[ M_P^+(A)\le \frac{99}{400}|A|^2+O(|A|), \qquad M_P(A)\le \frac{13}{28}|A|^2+O_P(|A|). \] For the particular pattern $P=\{0,1,3\}$ -- the subject of a question raised by Ganguly and recorded as Problem 24 in Green's list of open problems -- we sharpen the bound allowing both signs of the dilation to \[ M_{\{0,1,3\}}(A)\le \frac{47}{122}|A|^2+O(|A|). \]",This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,This refresh has not adjudicated this challenge-history component; unknown is not a score of zero.,No elapsed-time override is assigned in this refresh.,low,1.1.0,incomplete_unknown_inputs
